<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CMR,D,19990310,000000,21.493,21.493,21.493,21.493,208479,0
CMR,D,19990311,000000,23.479,23.479,23.479,23.479,105834,0
CMR,D,19990312,000000,25.738,25.738,25.738,25.738,100182,0
CMR,D,19990315,000000,28.266,28.266,28.266,28.266,69911,0
CMR,D,19990316,000000,28.266,28.266,28.266,28.266,164315,0
CMR,D,19990317,000000,28.266,28.266,28.266,28.266,74958,0
CMR,D,19990318,000000,28.447,28.447,28.447,28.447,47146,0
CMR,D,19990319,000000,29.8,29.8,29.8,29.8,23431,0
CMR,D,19990322,000000,27.363,27.363,27.363,27.363,3871,0
CMR,D,19990323,000000,27.905,27.905,27.905,27.905,9523,0
CMR,D,19990324,000000,26.911,26.911,26.911,26.911,12243,0
CMR,D,19990325,000000,27.091,27.091,27.091,27.091,22776,0
CMR,D,19990326,000000,28.266,28.266,28.266,28.266,10282,0
CMR,D,19990329,000000,28.717,28.717,28.717,28.717,19294,0
CMR,D,19990330,000000,28.447,28.447,28.447,28.447,6880,0
CMR,D,19990331,000000,27.363,27.363,27.363,27.363,2551,0
CMR,D,19990401,000000,27.363,27.363,27.363,27.363,6351,0
CMR,D,19990406,000000,26.911,26.911,26.911,26.911,5178,0
CMR,D,19990407,000000,27.363,27.363,27.363,27.363,18059,0
CMR,D,19990408,000000,27.815,27.815,27.815,27.815,6926,0
CMR,D,19990409,000000,28.266,28.266,28.266,28.266,17012,0
CMR,D,19990412,000000,28.447,28.447,28.447,28.447,20577,0
CMR,D,19990413,000000,29.168,29.168,29.168,29.168,21810,0
CMR,D,19990414,000000,29.259,29.259,29.259,29.259,11937,0
CMR,D,19990415,000000,29.351,29.351,29.351,29.351,5010,0
CMR,D,19990416,000000,30.524,30.524,30.524,30.524,16837,0
CMR,D,19990419,000000,32.782,32.782,32.782,32.782,11504,0
CMR,D,19990420,000000,31.608,31.608,31.608,31.608,5188,0
CMR,D,19990421,000000,32.871,32.871,32.871,32.871,19726,0
CMR,D,19990422,000000,33.865,33.865,33.865,33.865,22045,0
CMR,D,19990423,000000,34.138,34.138,34.138,34.138,16473,0
CMR,D,19990426,000000,33.865,33.865,33.865,33.865,3452,0
CMR,D,19990427,000000,32.961,32.961,32.961,32.961,5470,0
CMR,D,19990428,000000,32.961,32.961,32.961,32.961,16281,0
CMR,D,19990429,000000,32.511,32.511,32.511,32.511,22921,0
CMR,D,19990430,000000,33.142,33.142,33.142,33.142,6038,0
CMR,D,19990504,000000,33.685,33.685,33.685,33.685,10802,0
CMR,D,19990505,000000,34.138,34.138,34.138,34.138,19074,0
CMR,D,19990506,000000,35.401,35.401,35.401,35.401,13097,0
CMR,D,19990507,000000,35.039,35.039,35.039,35.039,9782,0
CMR,D,19990510,000000,34.769,34.769,34.769,34.769,3016,0
CMR,D,19990511,000000,34.497,34.497,34.497,34.497,5628,0
CMR,D,19990512,000000,34.316,34.316,34.316,34.316,5031,0
CMR,D,19990513,000000,34.769,34.769,34.769,34.769,9466,0
CMR,D,19990514,000000,34.587,34.587,34.587,34.587,5405,0
CMR,D,19990517,000000,33.865,33.865,33.865,33.865,21983,0
CMR,D,19990518,000000,34.138,34.138,34.138,34.138,7069,0
CMR,D,19990519,000000,34.497,34.497,34.497,34.497,7302,0
CMR,D,19990520,000000,34.769,34.769,34.769,34.769,8915,0
CMR,D,19990521,000000,34.769,34.769,34.769,34.769,9523,0
CMR,D,19990524,000000,34.316,34.316,34.316,34.316,11207,0
CMR,D,19990525,000000,33.865,33.865,33.865,33.865,13812,0
CMR,D,19990526,000000,33.413,33.413,33.413,33.413,13142,0
CMR,D,19990527,000000,33.413,33.413,33.413,33.413,22776,0
CMR,D,19990528,000000,32.871,32.871,32.871,32.871,8778,0
CMR,D,19990531,000000,32.782,32.782,32.782,32.782,3557,0
CMR,D,19990601,000000,32.782,32.782,32.782,32.782,10991,0
CMR,D,19990602,000000,33.685,33.685,33.685,33.685,19813,0
CMR,D,19990607,000000,34.587,34.587,34.587,34.587,8829,0
CMR,D,19990608,000000,34.587,34.587,34.587,34.587,9560,0
CMR,D,19990609,000000,33.413,33.413,33.413,33.413,16358,0
CMR,D,19990610,000000,33.865,33.865,33.865,33.865,5784,0
CMR,D,19990611,000000,34.227,34.227,34.227,34.227,20313,0
CMR,D,19990614,000000,34.316,34.316,34.316,34.316,9010,0
CMR,D,19990615,000000,34.587,34.587,34.587,34.587,7459,0
CMR,D,19990616,000000,34.227,34.227,34.227,34.227,2913,0
CMR,D,19990617,000000,34.587,34.587,34.587,34.587,8271,0
CMR,D,19990618,000000,34.769,34.769,34.769,34.769,5784,0
CMR,D,19990621,000000,35.221,35.221,35.221,35.221,5861,0
CMR,D,19990622,000000,36.123,36.123,36.123,36.123,15171,0
CMR,D,19990623,000000,35.49,35.49,35.49,35.49,17972,0
CMR,D,19990624,000000,35.49,35.49,35.49,35.49,6011,0
CMR,D,19990625,000000,35.49,35.49,35.49,35.49,2526,0
CMR,D,19990628,000000,35.49,35.49,35.49,35.49,6543,0
CMR,D,19990629,000000,35.941,35.941,35.941,35.941,21005,0
CMR,D,19990630,000000,36.123,36.123,36.123,36.123,24494,0
CMR,D,19990701,000000,36.123,36.123,36.123,36.123,13138,0
CMR,D,19990702,000000,36.846,36.846,36.846,36.846,12515,0
CMR,D,19990705,000000,39.553,39.553,39.553,39.553,21975,0
CMR,D,19990706,000000,40.638,40.638,40.638,40.638,17761,0
